<<<<<<< HEAD
﻿Conteonro,Fecha,Articulo,Logico,Fisico,Diferencia
C-02,1/9/2019,FOOTWEAR,100,98,-2
C-02,1/9/2019,FOOTWEAR,153,255,102
C-02,1/9/2019,FOOTWEAR,461,510,49
C-02,1/9/2019,EQUIPMENT,153,200,47
C-02,1/9/2019,EQUIPMENT,100,110,10
C-02,1/9/2019,EQUIPMENT,103,100,-3
C-02,1/9/2019,EQUIPMENT,502,489,-13
C-02,1/9/2019,APPAREL,230,250,20
C-02,1/9/2019,APPAREL,123,120,-3
C-02,1/9/2019,APPAREL,325,315,-10
C-02,1/9/2019,APPAREL,452,450,-2
=======
﻿Conteonro,Fecha,Articulo,Logico,Fisico,Diferencia
C-02,1/9/2019,FOOTWEAR,100,98,-2
C-02,1/9/2019,FOOTWEAR,153,255,102
C-02,1/9/2019,FOOTWEAR,461,510,49
C-02,1/9/2019,EQUIPMENT,153,200,47
C-02,1/9/2019,EQUIPMENT,100,110,10
C-02,1/9/2019,EQUIPMENT,103,100,-3
C-02,1/9/2019,EQUIPMENT,502,489,-13
C-02,1/9/2019,APPAREL,230,250,20
C-02,1/9/2019,APPAREL,123,120,-3
C-02,1/9/2019,APPAREL,325,315,-10
C-02,1/9/2019,APPAREL,452,450,-2
>>>>>>> 61d7fb5d99b3a5cf0ccfc16c53bf4decf3e8c4ce
