<<<<<<< HEAD
﻿Conteonro;Fecha;Articulo;Logico;Fisico;Diferencia
C-03;14/10/2019;FOOTWEAR;101;98;-3
C-03;14/10/2019;FOOTWEAR;160;255;95
C-03;14/10/2019;FOOTWEAR;450;510;60
C-03;14/10/2019;EQUIPMENT;242;200;-42
C-03;14/10/2019;EQUIPMENT;120;110;-10
C-03;14/10/2019;EQUIPMENT;99;100;1
C-03;14/10/2019;EQUIPMENT;504;489;-15
C-03;14/10/2019;APPAREL;220;250;30
C-03;14/10/2019;APPAREL;126;120;-6
C-03;14/10/2019;APPAREL;239;315;76
C-03;14/10/2019;APPAREL;455;450;-5
=======
﻿Conteonro;Fecha;Articulo;Logico;Fisico;Diferencia
C-03;14/10/2019;FOOTWEAR;101;98;-3
C-03;14/10/2019;FOOTWEAR;160;255;95
C-03;14/10/2019;FOOTWEAR;450;510;60
C-03;14/10/2019;EQUIPMENT;242;200;-42
C-03;14/10/2019;EQUIPMENT;120;110;-10
C-03;14/10/2019;EQUIPMENT;99;100;1
C-03;14/10/2019;EQUIPMENT;504;489;-15
C-03;14/10/2019;APPAREL;220;250;30
C-03;14/10/2019;APPAREL;126;120;-6
C-03;14/10/2019;APPAREL;239;315;76
C-03;14/10/2019;APPAREL;455;450;-5
>>>>>>> 61d7fb5d99b3a5cf0ccfc16c53bf4decf3e8c4ce
